冰茶央视,#genre#
CCTV1,http://192.168.31.5:8080/bingcha.php?id=cctv1
CCTV2,http://192.168.31.5:8080/bingcha.php?id=cctv2
CCTV3,http://192.168.31.5:8080/bingcha.php?id=cctv3
CCTV4,http://192.168.31.5:8080/bingcha.php?id=cctv4
CCTV5,http://192.168.31.5:8080/bingcha.php?id=cctv5
CCTV5+,http://192.168.31.5:8080/bingcha.php?id=cctv5p
CCTV6,http://192.168.31.5:8080/bingcha.php?id=cctv6
CCTV7,http://192.168.31.5:8080/bingcha.php?id=cctv7
CCTV8,http://192.168.31.5:8080/bingcha.php?id=cctv8
CCTV9,http://192.168.31.5:8080/bingcha.php?id=cctv9
CCTV10,http://192.168.31.5:8080/bingcha.php?id=cctv10
CCTV11,http://192.168.31.5:8080/bingcha.php?id=cctv11
CCTV12,http://192.168.31.5:8080/bingcha.php?id=cctv12
CCTV13,http://192.168.31.5:8080/bingcha.php?id=cctv13
CCTV14,http://192.168.31.5:8080/bingcha.php?id=cctv14
CCTV15,http://192.168.31.5:8080/bingcha.php?id=cctv15
CCTV17,http://192.168.31.5:8080/bingcha.php?id=cctv17
CCTV4欧洲,http://192.168.31.5:8080/bingcha.php?id=cctv4o
CCTV4美洲,http://192.168.31.5:8080/bingcha.php?id=cctv4a


凤凰台,#genre#
凤凰中文,http://192.168.31.5:8080/凤凰秀.php?id=fhzx
凤凰资讯,http://192.168.31.5:8080/凤凰秀.php?id=fhzw
凤凰香港,http://192.168.31.5:8080/凤凰秀.php?id=fhhk

河北地区,#genre#
河北卫视,https://tv.sohu.blog/d/hebtv.php?id=hbws
河北卫视,https://event.pull.hebtv.com/jishi/weishi_tingyun.m3u8
河北经济生活,https://tv.sohu.blog/d/hebtv.php?id=hbjjsh
河北三农,https://tv.sohu.blog/d/hebtv.php?id=hbsn
河北都市,https://tv.sohu.blog/d/hebtv.php?id=hbds
河北影视剧,https://tv.sohu.blog/d/hebtv.php?id=hbysj
河北少儿科教,https://tv.sohu.blog/d/hebtv.php?id=hbse
河北文旅公共,https://tv.sohu.blog/d/hebtv.php?id=hbwl
河北三佳购物,https://tv.sohu.blog/d/hebtv.php?id=hbgw
河北4K频道,https://event.pull.hebtv.com/live/live101.m3u8
河北五超频道,https://event.pull.hebtv.com/live/live103.m3u8
石家庄新闻综合,https://tv.sohu.blog/d/hebsjz.php?id=4
石家庄城市服务,https://tv.sohu.blog/d/hebsjz.php?id=5
石家庄文化娱乐,https://tv.sohu.blog/d/hebsjz.php?id=6
鹿泉综合,https://jwcdnqx.hebyun.com.cn/live/luquanyi/1500k/tzwj_video.m3u8
鹿泉2套,https://jwcdnqx.hebyun.com.cn/live/luquaner/1500k/tzwj_video.m3u8
新乐综合频道,https://jwcdnqx.hebyun.com.cn/live/XLTV/1500k/tzwj_video.m3u8

上海IPV6,#genre#
CCTV1,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000002226/1.m3u8
CCTV1,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000030810/1.m3u8
CCTV2财经,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031101/1.m3u8
CCTV3综艺,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000008883/1.m3u8
CCTV3综艺,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000002000020548/1.m3u8
CCTV4中文国际,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031102/1.m3u8
CCTV4中文国际,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000005000030093/1.m3u8
CCTV5体育,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000008885/1.m3u8
CCTV5体育,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000016619/1.m3u8
CCTV5+体育,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031127/1.m3u8
CCTV6电影,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000008886/1.m3u8
CCTV6电影,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000018433/1.m3u8
CCTV7国防,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031104/1.m3u8
CCTV7国防,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000005000026715/1.m3u8
CCTV8电视剧,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000008888/1.m3u8
CCTV8电视剧,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000018377/1.m3u8
CCTV9,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000018384/1.m3u8
CCTV10科教,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000012827/1.m3u8
CCTV10科教,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000016738/1.m3u8
CCTV11戏曲,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031106/1.m3u8
CCTV11戏曲,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040011/1.m3u8
CCTV12社会与法,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031107/1.m3u8
CCTV12社会与法,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040012/1.m3u8
CCTV13新闻,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031108/1.m3u8
CCTV13新闻,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000005000001827/1.m3u8
CCTV14少儿,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000006673/1.m3u8
CCTV14少儿,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000023358/1.m3u8
CCTV15音乐,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031109/1.m3u8
CCTV16,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000008000023253/1.m3u8
安徽卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000023002/1.m3u8
安徽卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000001000027288/1.m3u8
北京纪实科教,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031204/1.m3u8
北京卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000031556/1.m3u8
北京卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000011502/1.m3u8
兵团卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040020/1.m3u8
东南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000010584/1.m3u8
东南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000001000005829/1.m3u8
甘肃卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031121/1.m3u8
甘肃卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040021/1.m3u8
广东卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000014694/1.m3u8
广东卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000030417/1.m3u8
广西卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031118/1.m3u8
广西卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040014/1.m3u8
贵州卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000025843/1.m3u8
海南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000006211/1.m3u8
河北卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040016/1.m3u8
河南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031119/1.m3u8
河南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000005000017925/1.m3u8
黑龙江卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000025203/1.m3u8
黑龙江卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000031107/1.m3u8
湖北卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000014954/1.m3u8
湖北卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000022140/1.m3u8
茶频道,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031209/1.m3u8
金鹰纪实,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031203/1.m3u8
金鹰卡通,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040024/1.m3u8
快乐垂钓,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031206/1.m3u8
湖南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000006692/1.m3u8
湖南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000030452/1.m3u8
吉林卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031117/1.m3u8
吉林卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040013/1.m3u8
江苏卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000019351/1.m3u8
江苏卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000018509/1.m3u8
江西卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000011210/1.m3u8
江西卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000001000032154/1.m3u8
辽宁卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000011671/1.m3u8
辽宁卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000001000008940/1.m3u8
宁夏卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040022/1.m3u8
