唐山电信,#genre#
CCTV-1,http://27.191.203.155:19999/rtp/239.254.200.45:8008
CCTV-2,http://27.191.203.155:19999/rtp/239.254.200.158:6000
CCTV-3,http://27.191.203.155:19999/rtp/239.254.200.13:6000
CCTV-4,http://27.191.203.155:19999/rtp/239.254.200.190:6307
CCTV-5,http://27.191.203.155:19999/rtp/239.254.200.14:6000
CCTV-6,http://27.191.203.155:19999/rtp/239.254.200.15:6000
CCTV-7,http://27.191.203.155:19999/rtp/239.254.200.159:6000
CCTV-8,http://27.191.203.155:19999/rtp/239.254.200.16:6000
CCTV-9,http://27.191.203.155:19999/rtp/239.254.200.59:8112
CCTV-10,http://27.191.203.155:19999/rtp/239.254.200.160:6000
CCTV-11,http://27.191.203.155:19999/rtp/239.254.201.123:8120
CCTV-12,http://27.191.203.155:19999/rtp/239.254.200.161:6000
CCTV-13,http://27.191.203.155:19999/rtp/239.254.200.9:8264
CCTV-14,http://27.191.203.155:19999/rtp/239.254.200.162:6000
CCTV-15,http://27.191.203.155:19999/rtp/239.254.201.124:8136
CCTV-奥林匹克4K,http://27.191.203.155:19999/rtp/239.254.201.150:6345
CCTV-17,http://27.191.203.155:19999/rtp/239.254.201.120:8144
CCTV-5+高清,http://27.191.203.155:19999/rtp/239.254.200.46:8004
CCTV-3高清,http://27.191.203.155:19999/rtp/239.254.201.152:7205
CCTV-5高清,http://27.191.203.155:19999/rtp/239.254.201.153:7206
CCTV-6高清,http://27.191.203.155:19999/rtp/239.254.201.154:7207
CCTV-8高清,http://27.191.203.155:19999/rtp/239.254.201.155:7208
CCTV-16[4K],http://27.191.203.155:19999/rtp/239.254.201.150:6345
CCTV-奥林匹克 4K,http://27.191.203.155:19999/rtp/239.254.200.7:6346
河北卫视,http://27.191.203.155:19999/rtp/239.254.200.174:6000
河北经济生活,http://27.191.203.155:19999/rtp/239.254.200.18:6000
河北都市,http://27.191.203.155:19999/rtp/239.254.200.19:6000
河北影视剧,http://27.191.203.155:19999/rtp/239.254.200.20:6000
河北少儿科教,http://27.191.203.155:19999/rtp/239.254.200.21:6000
河北公共,http://27.191.203.155:19999/rtp/239.254.200.22:6000
河北农民,http://27.191.203.155:19999/rtp/239.254.200.23:6000
睛彩河北,http://27.191.203.155:19999/rtp/239.254.200.27:6000
石家庄新闻综合,http://27.191.203.155:19999/rtp/239.254.200.157:6000
石家庄娱乐,http://27.191.203.155:19999/rtp/239.254.200.29:6000
石家庄生活,http://27.191.203.155:19999/rtp/239.254.200.30:6000
