上海台1230,#genre#
东方卫视,https://192.168.31.5:8080/shanghai.php?id=dfws
五星体育,https://192.168.31.5:8080/shanghai.php?id=wxty
上海第一财经,https://192.168.31.5:8080/shanghai.php?id=dycj
上海新闻综合,https://192.168.31.5:8080/shanghai.php?id=xwzh
上海都市频道,https://192.168.31.5:8080/shanghai.php?id=dspd
新纪实,https://192.168.31.5:8080/shanghai.php?id=xjs
魔都眼,https://192.168.31.5:8080/shanghai.php?id=mdy
爱上海,https://192.168.31.5:8080/shanghai.php?id=ash
上海台2,#genre#
东方卫视,http://192.168.31.5:8080/shanghai.php?id=dfws
五星体育,http://192.168.31.5:8080/shanghai.php?id=wxty
上海第一财经,http://192.168.31.5:8080/shanghai.php?id=dycj
上海新闻综合,http://192.168.31.5:8080/shanghai.php?id=xwzh
上海都市频道,http://192.168.31.5:8080/shanghai.php?id=dspd
新纪实,http://192.168.31.5:8080/shanghai.php?id=xjs
魔都眼,http://192.168.31.5:8080/shanghai.php?id=mdy
爱上海,http://192.168.31.5:8080/shanghai.php?id=ash

深圳台,#genre#
深圳卫视,http://192.168.31.5:8080/shenzhen.php?channel=深圳卫视
深圳少儿,http://192.168.31.5:8080/shenzhen.php?channel=深圳少儿
深圳财经,http://192.168.31.5:8080/shenzhen.php?channel=深圳财经
深圳电视剧,http://192.168.31.5:8080/shenzhen.php?channel=深圳电视剧
宜和购物,http://192.168.31.5:8080/shenzhen.php?channel=宜和购物
深圳都市,http://192.168.31.5:8080/shenzhen.php?channel=深圳都市
深圳国际,http://192.168.31.5:8080/shenzhen.php?channel=深圳国际
深圳移动,http://192.168.31.5:8080/shenzhen.php?channel=深圳移动
深圳卫视4k,http://192.168.31.5:8080/shenzhen.php?channel=深圳卫视4k


咪咕央卫,#genre#
CCTV1,http://192.168.31.5:8080/miguHD-2.php?id=cctv1
CCTV2,http://192.168.31.5:8080/miguHD-2.php?id=cctv2
CCTV3,http://192.168.31.5:8080/miguHD-2.php?id=cctv3
CCTV4,http://192.168.31.5:8080/miguHD-2.php?id=cctv4
CCTV5,http://192.168.31.5:8080/miguHD-2.php?id=cctv5
CCTV5p,http://192.168.31.5:8080/miguHD-2.php?id=cctv5p
CCTV6,http://192.168.31.5:8080/miguHD-2.php?id=cctv6
CCTV7,http://192.168.31.5:8080/miguHD-2.php?id=cctv7
CCTV8,http://192.168.31.5:8080/miguHD-2.php?id=cctv8
CCTV9,http://192.168.31.5:8080/miguHD-2.php?id=cctv9
CCTV10,http://192.168.31.5:8080/miguHD-2.php?id=cctv10
CCTV11,http://192.168.31.5:8080/miguHD-2.php?id=cctv11
CCTV12,http://192.168.31.5:8080/miguHD-2.php?id=cctv12
CCTV13,http://192.168.31.5:8080/miguHD-2.php?id=cctv13
CCTV14,http://192.168.31.5:8080/miguHD-2.php?id=cctv14
CCTV15,http://192.168.31.5:8080/miguHD-2.php?id=cctv15
CCTV17,http://192.168.31.5:8080/miguHD-2.php?id=cctv17
东方卫视,http://192.168.31.5:8080/miguHD-2.php?id=dongfangweishi
浙江卫视,http://192.168.31.5:8080/miguHD-2.php?id=zhejiangweishi
湖南卫视,http://192.168.31.5:8080/miguHD-2.php?id=hunanweishi
江苏卫视,http://192.168.31.5:8080/miguHD-2.php?id=jiangsuweishi
北京卫视,http://192.168.31.5:8080/miguHD-2.php?id=beijingweishi
广东卫视,http://192.168.31.5:8080/miguHD-2.php?id=guangdongweishi
深圳卫视,http://192.168.31.5:8080/miguHD-2.php?id=shenzhenweishi
黑龙江卫视,http://192.168.31.5:8080/miguHD-2.php?id=heilongjiangweishi



重庆,#genre#
重庆新闻, http://192.168.31.5:8080/cbg.php
山西,#genre#
山西卫视, http://192.168.31.5:8080/sxtv.php?id=ws
黄河电视台, http://192.168.31.5:8080/sxtv.php?id=hh
山西经济与科技, http://192.168.31.5:8080/sxtv.php?id=jj
山西影视, http://192.168.31.5:8080/sxtv.php?id=ys
山西社会与法治, http://192.168.31.5:8080/sxtv.php?id=fz
山西文体生活, http://192.168.31.5:8080/sxtv.php?id=wt
太原-1, http://192.168.31.5:8080/sxtv.php?id=ty
朔州-1, http://192.168.31.5:8080/sxtv.php?id=sz
忻州综合, http://192.168.31.5:8080/sxtv.php?id=xz
阳泉新闻综合, http://192.168.31.5:8080/sxtv.php?id=yq
大同-1, http://192.168.31.5:8080/sxtv.php?id=dt
吕梁-1, http://192.168.31.5:8080/sxtv.php?id=ll
晋中综合, http://192.168.31.5:8080/sxtv.php?id=jz
长治-1, http://192.168.31.5:8080/sxtv.php?id=cz
晋城新闻综合, http://192.168.31.5:8080/sxtv.php?id=jc
临汾-1, http://192.168.31.5:8080/sxtv.php?id=lf
运城-1, http://192.168.31.5:8080/sxtv.php?id=yc

深圳,#genre#
深圳卫视4K,http://192.168.31.5:8080.com/sztv1.php?id=szws4k
深圳卫视,http://192.168.31.5:8080.com/sztv1.php?id=szws
深圳财经,http://192.168.31.5:8080.com/sztv1.php?id=szcj
深圳少儿,http://192.168.31.5:8080.com/sztv1.php?id=szse
深圳电视剧,http://192.168.31.5:8080.com/sztv1.php?id=szdsj
深圳都市,http://192.168.31.5:8080.com/sztv1.php?id=szds
深圳国际,http://192.168.31.5:8080.com/sztv1.php?id=sztvgj
宜和购物,http://192.168.31.5:8080.com/sztv1.php?id=yhgw
移动频道,http://192.168.31.5:8080.com/sztv1.php?id=ydpd




内蒙古,#genre#
内蒙古卫视, http://192.168.31.5:8080/neimenggu.php?id=254
新闻综合, http://192.168.31.5:8080/neimenggu.php?id=127
经济生活, http://192.168.31.5:8080/neimenggu.php?id=128
少儿频道, http://192.168.31.5:8080/neimenggu.php?id=129
文体娱乐, http://192.168.31.5:8080/neimenggu.php?id=130
农牧频道, http://192.168.31.5:8080/neimenggu.php?id=131
内蒙古蒙古语文化, http://192.168.31.5:8080/neimenggu.php?id=132
呼和浩特, http://192.168.31.5:8080/neimenggu.php?id=141
包头, http://192.168.31.5:8080/neimenggu.php?id=168
乌海, http://192.168.31.5:8080/neimenggu.php?id=165
赤峰, http://192.168.31.5:8080/neimenggu.php?id=161
呼伦贝尔, http://192.168.31.5:8080/neimenggu.php?id=166
兴安盟, http://192.168.31.5:8080/neimenggu.php?id=167
通辽, http://192.168.31.5:8080/neimenggu.php?id=163
锡林郭勒, http://192.168.31.5:8080/neimenggu.php?id=156
乌兰察布, http://192.168.31.5:8080/neimenggu.php?id=164
鄂尔多斯, http://192.168.31.5:8080/neimenggu.php?id=159
巴彦淖尔, http://192.168.31.5:8080/neimenggu.php?id=158
阿拉善, http://192.168.31.5:8080/neimenggu.php?id=157

吉林,#genre#
吉林卫视,http://192.168.31.5:8080/jjltv.php?id=1531
都市频道,http://192.168.31.5:8080/jjltv.php?id=1532
生活频道,http://192.168.31.5:8080/jjltv.php?id=1534
影视频道,http://192.168.31.5:8080/jjltv.php?id=1535
乡村频道,http://192.168.31.5:8080/jjltv.php?id=1536
综艺·文化频道,http://192.168.31.5:8080/jjltv.php?id=1538
长春综合,http://192.168.31.5:8080/jjltv.php?id=812402
吉林新闻综合,http://192.168.31.5:8080/jjltv.php?id=812373
四平新闻综合,http://192.168.31.5:8080/jjltv.php?id=812374
辽源新闻综合,http://192.168.31.5:8080/jjltv.php?id=812376
通化新闻综合,http://192.168.31.5:8080/jjltv.php?id=812379
白山新闻综合,http://192.168.31.5:8080/jjltv.php?id=812383
白城新闻综合,http://192.168.31.5:8080/jjltv.php?id=812380
松原新闻综合,http://192.168.31.5:8080/jjltv.php?id=812382
延边卫视,http://192.168.31.5:8080/jjltv.php?id=812244


山东,#genre#
山东卫视,http://你的域名/iqilu.php?id=sdws
山东齐鲁,http://你的域名/iqilu.php?id=qlpd
山东新闻,http://你的域名/iqilu.php?id=xwpd
山东体育休闲,http://你的域名/iqilu.php?id=tyxx
山东生活,http://你的域名/iqilu.php?id=shpd
山东综艺,http://你的域名/iqilu.php?id=zypd
山东农科,http://你的域名/iqilu.php?id=nkpd
山东文旅,http://你的域名/iqilu.php?id=wlpd
山东少儿,http://你的域名/iqilu.php?id=sepd


杭州,#genre#
杭州综合,http://192.168.31.5:8080/杭州.php?id=hzzh
西湖明珠,http://192.168.31.5:8080/杭州.php?id=hzmz
杭州生活,http://192.168.31.5:8080/杭州.php?id=hzsh
杭州影视,http://192.168.31.5:8080/杭州.php?id=hzys
青少体育,http://192.168.31.5:8080/杭州.php?id=hzqsty
杭州导视,http://192.168.31.5:8080/杭州.php?id=hzds
富阳新闻综合,http://192.168.31.5:8080/杭州.php?id=fyxwzh

上海,#genre#
上海东方卫视,http://192.168.31.5:8080/shanghai.php?id=dfws
上海新闻综合,http://192.168.31.5:8080/shanghai.php?id=xwzh
上海新纪实,http://192.168.31.5:8080/shanghai.php?id=xjs
上海魔都眼,http://192.168.31.5:8080/shanghai.php?id=mdy
上海乐游频道,http://192.168.31.5:8080/shanghai.php?id=lypd
上海第一财经,http://192.168.31.5:8080/shanghai.php?id=dycj
上海都市频道,http://192.168.31.5:8080/shanghai.php?id=dspd
上海五星体育,http://192.168.31.5:8080/shanghai.php?id=wxty

北京,#genre#
北京卫视,http://192.168.31.5:8080/btime.php?id=bjws
北京纪实,http://192.168.31.5:8080/btime.php?id=bjjs
BTV文艺,http://192.168.31.5:8080/btime.php?id=btvwy
BTV科教,http://192.168.31.5:8080/btime.php?id=btvkj
BTV影视,http://192.168.31.5:8080/btime.php?id=btvys
BTV财经,http://192.168.31.5:8080/btime.php?id=btvcj
BTV生活,http://192.168.31.5:8080/btime.php?id=btvsh
BTV青年,http://192.168.31.5:8080/btime.php?id=btvqn
BTV新闻,http://192.168.31.5:8080/btime.php?id=btvxw
卡酷少儿,http://192.168.31.5:8080/btime.php?id=kaku

海南,#genre#
海南卫视,http://192.168.31.5:8080/hn.php?id=hnws
三沙卫视,http://192.168.31.5:8080/hn.php?id=ssws
海南新闻频道,http://192.168.31.5:8080/hn.php?id=xwpd
海南文旅频道,http://192.168.31.5:8080/hn.php?id=wlpd
海南自贸频道,http://192.168.31.5:8080/hn.php?id=jjpd
海南公共频道,http://192.168.31.5:8080/hn.php?id=ggpd
海南少儿频道,http://192.168.31.5:8080/hn.php?id=sepd

河南,#genre#
河南卫视,http://192.168.31.5:8080/hntv.php?id=hnws
河南都市,http://192.168.31.5:8080/hntv.php?id=hnds
河南民生,http://192.168.31.5:8080/hntv.php?id=hnms
河南法治,http://192.168.31.5:8080/hntv.php?id=hmfz
河南电视剧,http://192.168.31.5:8080/hntv.php?id=hndsj
河南新闻,http://192.168.31.5:8080/hntv.php?id=hnxw
欢腾购物,http://192.168.31.5:8080/hntv.php?id=htgw
河南公共,http://192.168.31.5:8080/hntv.php?id=hngg
河南乡村,http://192.168.31.5:8080/hntv.php?id=hnxc
河南国际,http://192.168.31.5:8080/hntv.php?id=hngj
河南梨园,http://192.168.31.5:8080/hntv.php?id=hnly
文物宝库,http://192.168.31.5:8080/hntv.php?id=wwbk
武术世界,http://192.168.31.5:8080/hntv.php?id=wspd
睛彩中原,http://192.168.31.5:8080/hntv.php?id=jczy
移动戏曲,http://192.168.31.5:8080/hntv.php?id=ydxj
象视界,http://192.168.31.5:8080/hntv.php?id=xsj
国学频道,http://192.168.31.5:8080/hntv.php?id=gxpd
郑州新闻综合,http://192.168.31.5:8080/hntv.php?id=zz1
开封新闻综合,http://192.168.31.5:8080/hntv.php?id=kf1
洛阳新闻综合,http://192.168.31.5:8080/hntv.php?id=ly1
平顶山新闻综合,http://192.168.31.5:8080/hntv.php?id=pds1
安阳新闻综合,http://192.168.31.5:8080/hntv.php?id=ay1
鹤壁新闻综合,http://192.168.31.5:8080/hntv.php?id=hb1
新乡新闻综合,http://192.168.31.5:8080/hntv.php?id=xx1
焦作新闻综合,http://192.168.31.5:8080/hntv.php?id=jz1
濮阳新闻综合,http://192.168.31.5:8080/hntv.php?id=py1
许昌新闻综合,http://192.168.31.5:8080/hntv.php?id=xc1
漯河新闻综合,http://192.168.31.5:8080/hntv.php?id=lh1
三门峡新闻综合,http://192.168.31.5:8080/hntv.php?id=smx1
南阳新闻综合,http://192.168.31.5:8080/hntv.php?id=ny1
商丘新闻综合,http://192.168.31.5:8080/hntv.php?id=sq1
信阳新闻综合,http://192.168.31.5:8080/hntv.php?id=xy1
周口新闻综合,http://192.168.31.5:8080/hntv.php?id=zk1
驻马店新闻综合,http://192.168.31.5:8080/hntv.php?id=zmd1
济源新闻综合,http://192.168.31.5:8080/hntv.php?id=jy1

江苏,#genre#
江苏卫视,http://192.168.31.5:8080/jstv.php?id=jsws
江苏卫视4K,http://192.168.31.5:8080/jstv.php?id=jsws4k
江苏城市,http://192.168.31.5:8080/jstv.php?id=jscs
江苏综艺,http://192.168.31.5:8080/jstv.php?id=jszy
江苏影视,http://192.168.31.5:8080/jstv.php?id=jsys
江苏新闻,http://192.168.31.5:8080/jstv.php?id=jsxw
江苏教育,http://192.168.31.5:8080/jstv.php?id=jsjy
江苏体育休闲,http://192.168.31.5:8080/jstv.php?id=jsty
江苏国际,http://192.168.31.5:8080/jstv.php?id=jsgj
优漫卡通,http://192.168.31.5:8080/jstv.php?id=ymkt

四川,#genre#
四川卫视,http://192.168.31.5:8080/sctv.php?id=1
四川新闻,http://192.168.31.5:8080/sctv.php?id=2
四川经济,http://192.168.31.5:8080/sctv.php?id=3
四川文化旅游,http://192.168.31.5:8080/sctv.php?id=4
四川影视文艺,http://192.168.31.5:8080/sctv.php?id=5
四川妇女儿童,http://192.168.31.5:8080/sctv.php?id=6
四川星空购物,http://192.168.31.5:8080/sctv.php?id=7
四川乡村,http://192.168.31.5:8080/sctv.php?id=8
康巴卫视,http://192.168.31.5:8080/sctv.php?id=9
四川卫视4K,http://192.168.31.5:8080/sctv.php?id=10

深圳,#genre#
深圳卫视4K,http://tv.192.168.31.5:8080.com/sztv.php?id=szws4k
深圳卫视,http://tv.192.168.31.5:8080.com/sztv.php?id=szws
深圳财经,http://tv.192.168.31.5:8080.com/sztv.php?id=szcj
深圳少儿,http://tv.192.168.31.5:8080.com/sztv.php?id=szse
深圳电视剧,http://tv.192.168.31.5:8080.com/sztv.php?id=szdsj
深圳都市,http://tv.192.168.31.5:8080.com/sztv.php?id=szds
深圳国际,http://tv.192.168.31.5:8080.com/sztv.php?id=sztvgj
宜和购物,http://tv.192.168.31.5:8080.com/sztv.php?id=yhgw
移动频道,http://tv.192.168.31.5:8080.com/sztv.php?id=ydpd

测试央视,#genre#
CCTV1,http://110.42.63.57:8918/live/ysp.php?id=CCTV1
CCTV2,http://110.42.63.57:8918/live/ysp.php?id=CCTV2
CCTV3,http://110.42.63.57:8918/live/ysp.php?id=CCTV3
CCTV4,http://110.42.63.57:8918/live/ysp.php?id=CCTV4
CCTV5,http://110.42.63.57:8918/live/ysp.php?id=CCTV5
CCTV5+,http://110.42.63.57:8918/live/ysp.php?id=CCTV5P
CCTV6,http://110.42.63.57:8918/live/ysp.php?id=CCTV6
CCTV7,http://110.42.63.57:8918/live/ysp.php?id=CCTV7
CCTV8,http://110.42.63.57:8918/live/ysp.php?id=CCTV8
CCTV9,http://110.42.63.57:8918/live/ysp.php?id=CCTV9
CCTV10,http://110.42.63.57:8918/live/ysp.php?id=CCTV10
CCTV11,http://110.42.63.57:8918/live/ysp.php?id=CCTV11
CCTV12,http://110.42.63.57:8918/live/ysp.php?id=CCTV12
CCTV13,http://110.42.63.57:8918/live/ysp.php?id=CCTV13
CCTV14,http://110.42.63.57:8918/live/ysp.php?id=CCTV14
CCTV15,http://110.42.63.57:8918/live/ysp.php?id=CCTV15
CCTV16,http://110.42.63.57:8918/live/ysp.php?id=CCTV16
CCTV17,http://110.42.63.57:8918/live/ysp.php?id=CCTV17

测试2,#genre#
CCTV1-综合,http://116.77.38.138:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://116.77.38.138:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://116.77.38.138:44330/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://116.77.38.138:44330/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://116.77.38.138:44330/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+体育赛事,http://116.77.38.138:44330/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://116.77.38.138:44330/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7-军农,http://116.77.38.138:44330/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8-电视剧,http://116.77.38.138:44330/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://116.77.38.138:44330/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10-科教,http://116.77.38.138:44330/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11-戏曲,http://116.77.38.138:44330/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12-社会与法,http://116.77.38.138:44330/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13-新闻,http://116.77.38.138:44330/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14-少儿,http://116.77.38.138:44330/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://116.77.38.138:44330/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://116.77.38.138:44330/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV16-奥林匹克,http://116.77.38.138:44330/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
